"","City","EatIn","FoodAtHome","EatOut","FoodAwayFromHome","Alcohol","Alcoholic","Smoke","Tobacco","PTravel","Public","Car","CarCosts","Look","PersonalCare","Dress","Apparel","Ent","Entertainment","ReadR","Reading","EatRatio"
"X.1","Chicago",7.85356644504638,4784,4.88549618320611,2976,0.842157104161536,513,0.466223426085529,284,1.36091274727079,829,13.8028400229828,8408,1.26733973569728,772,3.71337109086432,2262,4.5653779857178,2781,0.174012968891078,106,38.345574023966
"X.2","Detroit",7.65900476405745,4405,4.71537364815523,2712,0.84327294224015,485,0.622457140870049,358,1.0258371874674,590,18.192092360121,10463,1.16667246235699,671,3.02535034948013,1740,5.44215321486942,3130,0.259067357512953,149,38.1112984822934
"X.3","Minn.-St. Paul",6.29426001733051,4213,5.03630441927869,3371,0.954671766217468,639,0.458660770311053,307,0.899393432336331,602,17.0167627812472,11390,1.08315654226552,725,2.77288074819972,1856,5.50243523470882,3683,0.270415633310425,181,44.4547013055519
"X.4","Cleveland",8.21667436582378,4091,5.46907951555565,2723,1.1187210026311,557,0.5844664484123,291,0.795356404024985,396,17.1684508626403,8548,1.25730583060515,626,3.00066279700335,1494,4.48492638936311,2233,0.154652634115969,77,39.9618432638685
"X.11","New York",6.74283544063425,4261,4.85496811355688,3068,0.856107480258889,541,0.363964363141487,230,2.05877233237859,1301,11.3003022486668,7141,1.18367540708623,748,3.6934470590097,2334,4.10963239599323,2597,0.158245375278907,100,41.8610997407559
"X.21","Philadelphia",7.47232631633481,4327,5.07019876698845,2936,1.09831281192257,636,0.592329079385912,343,1.29690710967586,751,15.1087087916832,8749,1.16738908940197,676,3.78710691280847,2193,4.7144559379695,2730,0.181325228383442,105,40.4240671898664
"X.31","Boston",7.37579867981814,4883,4.37291361418667,2895,0.935002945485854,619,0.649517393471595,430,1.25069860882437,828,13.8498255366071,9169,1.13136866909355,749,3.04215821035301,2014,4.63876259384016,3071,0.208449768137396,138,37.2251510865372
"X.12","Washington, DC",5.37409493161706,4342,4.66241722878891,3767,0.69682529859521,563,0.298285785011449,241,1.5013305278792,1213,16.5171112073767,13345,1.02605359242527,829,2.5892691379417,2092,4.24531220991398,3430,0.287146481836747,232,46.4545566654335
"X.22","Baltimore",6.49299231926518,4100,5.04711378573125,3187,0.712645498455935,450,0.292976482698551,185,1.1719059307942,740,13.8569958033098,8750,1.2970148071898,819,3.08337952331934,1947,4.41681843376356,2789,0.204291709557368,129,43.7294182217344
"X.32","Atlanta",7.42661866113383,3651,5.33756432944814,2624,0.783141107788694,385,0.349870832570534,172,0.844165090213787,415,15.6058664388438,7672,1.1167388783792,549,3.44582087427025,1694,4.02758284005614,1980,0.130184495840199,64,41.8167330677291
"X.41","Miami",8.08062044304091,3480,4.94821901267821,2131,0.870756513258719,375,0.399386987414666,172,0.914874843263828,394,15.9034969581572,6849,1.65327636650722,712,3.13472344773139,1350,3.63395718199972,1565,0.125388937909256,54,37.9857397504456
"X.5","Dallas-FW",6.56099063178709,4048,6.10230477487115,3765,1.20587377224545,744,0.468410645401796,289,1.00003241596162,617,17.297157120166,10672,1.26584330124153,781,3.65327887451781,2254,5.04716522415637,3114,0.150734221530682,93,48.1889159093818
"X.6","Houston",6.5854431813035,4362,5.47277201564081,3625,0.923954889261289,612,0.602382354273291,399,1.28930960037441,854,16.6357171973368,11019,1.17758956474478,780,3.43614596071682,2276,4.90209399580295,3247,0.149463290909914,99,45.3862526605734
"X.13","Los Angeles",7.55409930508047,4196,5.55035466100169,3083,0.860548014258452,478,0.293450473481439,163,1.07838548230296,599,13.8929895942102,7717,1.40604183919634,781,3.45659453425989,1920,4.3693515284629,2427,0.142224462607568,79,42.3605386095081
"X.23","San Francisco",6.12957172980441,4215,5.72529629898931,3937,1.04849850941613,721,0.271940667490729,187,1.74943648658475,1203,11.9261252090453,8201,1.23609394313968,850,3.23856613102596,2227,4.84112557260234,3329,0.234130735112339,161,48.2948969578018
"X.33","San Diego",6.14030923103705,3880,4.83628479640444,3056,1.07771922328253,681,0.367152510721803,232,1.37523936128124,869,14.9567171501369,9451,1.17742012059061,744,3.12870911076295,1977,4.57991106046939,2894,0.256373735935052,162,44.0599769319493
"X.42","Seattle",6.9487009686908,4512,5.30700876287866,3446,1.00873207768007,655,0.432753761569618,281,1.75257573190827,1138,13.5970923875379,8829,1.25513991344925,815,3.52825219841991,2291,5.67816056550598,3687,0.275668766266767,179,43.302337270671
"X.51","Phoenix",8.48660984220484,4351,5.43408297411691,2786,1.07082252433244,549,0.41935672628684,215,0.655366790848271,336,18.7130624743997,9594,1.35169400612456,693,3.30023991105736,1692,5.46919190934093,2804,0.122881273284051,63,39.0360095278128
