"","city","Latitude","Longitude","Migration","wmDistance","Migrant2Pop","center"
"1","Atlanta",33.790034,-84.468182,26.6363510419132,321,8.29,"33.790034,-84.468182"
"2","Austin",30.239513,-97.69127,36.3366488736993,492,7.38,"30.239513,-97.69127"
"3","Boston",42.33196,-71.020173,35.3547915730357,429,8.23,"42.33196,-71.020173"
"4","Charlotte",35.246862,-80.833832,23.8077377840994,384,6.2,"35.246862,-80.833832"
"5","Chicago",41.894294,-87.645455,11.9260383008285,460,2.59,"41.894294,-87.645455"
"6","Columbus",39.969447,-83.008258,17.1802876408614,322,5.34,"39.969447,-83.008258"
"7","Dallas",32.766987,-96.778424,17.3270620006062,389,4.45,"32.766987,-96.778424"
"8","Denver",39.761849,-104.880625,39.653713846506,378,10.5,"39.761849,-104.880625"
"9","Detroit",42.284664,-83.261953,8.00986381570795,307,2.61,"42.284664,-83.261953"
"10","Houston",29.857273,-95.393037,20.0897782783662,541,3.71,"29.857273,-95.393037"
"11","Indianapolis",39.782976,-86.135794,13.3036722560798,285,4.66,"39.782976,-86.135794"
"12","Las Vegas",36.214236,-115.013819,40.5224671942855,914,4.43,"36.214236,-115.013819"
"13","Los Angeles",34.196398,-118.261862,16.4524375735887,760,2.17,"34.196398,-118.261862"
"14","Memphis",35.183794,-89.895397,15.0321598008695,446,3.37,"35.183794,-89.895397"
"15","Miami",25.610494,-80.499045,15.8599515814416,714,2.22,"25.610494,-80.499045"
"16","Nashville",36.169129,-86.78479,23.3509981824239,332,7.02,"36.169129,-86.78479"
"17","New York",40.6965626,-73.9497764,36.291451527837,837,4.34,"40.6965626,-73.9497764"
"18","Oklahoma City",35.554611,-97.409401,23.6169107443551,394,5.99,"35.554611,-97.409401"
"19","Philadelphia",40.009376,-75.133346,12.1752476932286,340,3.58,"40.009376,-75.133346"
"20","Phoenix",33.346541,-112.495534,38.2204683306693,901,4.24,"33.346541,-112.495534"
"21","Portland",45.547693,-122.417173,43.3548825970169,633,6.85,"45.547693,-122.417173"
"22","San Francisco",37.727239,-123.032229,43.6265605525902,732,5.96,"37.727239,-123.032229"
"23","Seattle",47.493554,-121.832375,43.6078369417993,869,5.02,"47.493554,-121.832375"
"24","Washington, D.C.",38.904149,-77.017094,40.2725831474022,518,7.77,"38.904149,-77.017094"
